# fit,CoC5-expert,stored_as,author-fit-P2-05-Manual-2026-09-18.xrcx,min_limit,1.000E-06
two_theta_deg,measured_reflectivity,fitted_reflectivity
2.349,1.259700E-04,1.268100E-04
2.352,1.309400E-04,1.196700E-04
2.355,1.435000E-04,1.217300E-04
2.358,1.669500E-04,1.325500E-04
2.361,1.930300E-04,1.512400E-04
2.364,2.177300E-04,1.765300E-04
2.366,2.416000E-04,2.068200E-04
2.369,2.701600E-04,2.403200E-04
2.372,2.916800E-04,2.751500E-04
2.375,3.074100E-04,3.094500E-04
2.378,3.261800E-04,3.415100E-04
2.382,3.426000E-04,3.697400E-04
2.385,3.474300E-04,3.928100E-04
2.388,3.483900E-04,4.096200E-04
2.391,3.454900E-04,4.193800E-04
2.394,3.442500E-04,4.216200E-04
2.397,3.257600E-04,4.162600E-04
2.399,3.054800E-04,4.035500E-04
2.402,2.863000E-04,3.841400E-04
2.405,2.592600E-04,3.589600E-04
2.408,2.300100E-04,3.292600E-04
2.411,1.967500E-04,2.964200E-04
2.414,1.705400E-04,2.619800E-04
2.418,1.451500E-04,2.274700E-04
2.421,1.205900E-04,1.944500E-04
2.424,1.034800E-04,1.643400E-04
2.427,9.258200E-05,1.384200E-04
2.430,8.527000E-05,1.177600E-04
2.432,8.223400E-05,1.031000E-04
2.435,8.499400E-05,9.491500E-05
2.438,9.203000E-05,9.333400E-05
2.441,1.007200E-04,9.817900E-05
2.444,1.148000E-04,1.089800E-04
2.447,1.320400E-04,1.249900E-04
2.451,1.542600E-04,1.452500E-04
2.454,1.731600E-04,1.686400E-04
2.457,1.967500E-04,1.938700E-04
2.460,2.213100E-04,2.196000E-04
2.463,2.367700E-04,2.444900E-04
2.466,2.525000E-04,2.672300E-04
2.468,2.540100E-04,2.866900E-04
2.471,2.569100E-04,3.019000E-04
2.474,2.556700E-04,3.121300E-04
2.477,2.453200E-04,3.169100E-04
2.480,2.369100E-04,3.160500E-04
2.484,2.204900E-04,3.096300E-04
2.487,2.069600E-04,2.979800E-04
2.490,1.857200E-04,2.816900E-04
2.493,1.622600E-04,2.615300E-04
2.496,1.439100E-04,2.384600E-04
2.499,1.244500E-04,2.135300E-04
2.501,1.059700E-04,1.878900E-04
2.504,9.065100E-05,1.627200E-04
2.507,8.237200E-05,1.391400E-04
2.510,7.133400E-05,1.181900E-04
2.513,6.250300E-05,1.007500E-04
2.516,6.195100E-05,8.750200E-05
